x1,F1_x2,F2_x2,Difference
0.0000000000,1.0000000000,0.5000000000,0.5000000000
0.0200000000,0.9999499987,0.5201006700,0.4798493287
0.0400000000,0.9997999800,0.5404053871,0.4593945929
0.0600000000,0.9995498987,0.5609182733,0.4386316254
0.0800000000,0.9991996797,0.5816435338,0.4175561459
0.1000000000,0.9987492178,0.6025854590,0.3961637587
0.1200000000,0.9981983771,0.6237484258,0.3744499513
0.1400000000,0.9975469914,0.6451368994,0.3524100919
0.1600000000,0.9967948636,0.6667554355,0.3300394281
0.1800000000,0.9959417654,0.6886086816,0.3073330838
0.2000000000,0.9949874371,0.7107013791,0.2842860580
0.2200000000,0.9939315872,0.7330383653,0.2608932219
0.2400000000,0.9927738917,0.7556245752,0.2371493165
0.2600000000,0.9915139938,0.7784650433,0.2130489505
0.2800000000,0.9901515036,0.8015649062,0.1885865974
0.3000000000,0.9886859967,0.8249294038,0.1637565929
0.3200000000,0.9871170143,0.8485638822,0.1385531322
0.3400000000,0.9854440623,0.8724737953,0.1129702671
0.3600000000,0.9836666102,0.8966647073,0.0870019029
0.3800000000,0.9817840903,0.9211422947,0.0606417956
0.4000000000,0.9797958971,0.9459123488,0.0338835483
0.4200000000,0.9777013859,0.9709807778,0.0067206081
0.4400000000,0.9754998719,0.9963536093,0.0208537374
0.4600000000,0.9731906288,1.0220369925,0.0488463637
0.4800000000,0.9707728880,1.0480372011,0.0772643131
0.5000000000,0.9682458366,1.0743606354,0.1061147988
0.5200000000,0.9656086164,1.1010138248,0.1354052085
0.5400000000,0.9628603222,1.1280034311,0.1651431089
0.5600000000,0.9600000000,1.1553362501,0.1953362501
0.5800000000,0.9570266454,1.1830192154,0.2259925700
0.6000000000,0.9539392014,1.2110594002,0.2571201988
0.6200000000,0.9507365566,1.2394640209,0.2887274644
0.6400000000,0.9474175426,1.2682404397,0.3208228971
0.6600000000,0.9439809320,1.2973961672,0.3534152352
0.6800000000,0.9404254356,1.3269388661,0.3865134305
0.7000000000,0.9367496998,1.3568763537,0.4201266540
0.7200000000,0.9329523032,1.3872166053,0.4542643021
0.7400000000,0.9290317540,1.4179677572,0.4889360032
0.7600000000,0.9249864864,1.4491381102,0.5241516239
0.7800000000,0.9208148565,1.4807361327,0.5599212762
0.8000000000,0.9165151390,1.5127704642,0.5962553253
0.8200000000,0.9120855223,1.5452499188,0.6331643965
0.8400000000,0.9075241044,1.5781834884,0.6706593840
0.8600000000,0.9028288874,1.6115803469,0.7087514594
0.8800000000,0.8979977728,1.6454498532,0.7474520804
0.9000000000,0.8930285550,1.6798015556,0.7867730006
0.9200000000,0.8879189152,1.7146451950,0.8267262798
0.9400000000,0.8826664149,1.7499907092,0.8673242943
0.9600000000,0.8772684880,1.7858482367,0.9085797487
0.9800000000,0.8717224329,1.8222281210,0.9505056881
1.0000000000,0.8660254038,1.8591409142,0.9931155104
1.0200000000,0.8601744009,1.8965973820,1.0364229811
1.0400000000,0.8541662602,1.9346085072,1.0804422470
1.0600000000,0.8479976415,1.9731854946,1.1251878531
1.0800000000,0.8416650165,2.0123397755,1.1706747590
1.1000000000,0.8351646544,2.0520830120,1.2169183575
1.1200000000,0.8284926071,2.0924271016,1.2639344946
1.1400000000,0.8216446921,2.1333841826,1.3117394905
1.1600000000,0.8146164742,2.1749666381,1.3603501639
1.1800000000,0.8074032450,2.2171871014,1.4097838565
1.2000000000,0.8000000000,2.2600584614,1.4600584614
1.2200000000,0.7924014134,2.3035938668,1.5111924534
1.2400000000,0.7846018098,2.3478067324,1.5632049225
1.2600000000,0.7765951326,2.3927107437,1.6161156111
1.2800000000,0.7683749085,2.4383198628,1.6699449543
1.3000000000,0.7599342077,2.4846483338,1.7247141261
1.3200000000,0.7512655988,2.5317106886,1.7804450898
1.3400000000,0.7423610981,2.5795217527,1.8371606546
1.3600000000,0.7332121112,2.6280966509,1.8948845397
1.3800000000,0.7238093672,2.6774508137,1.9536414466
1.4000000000,0.7141428429,2.7275999834,2.0134571406
1.4200000000,0.7042016757,2.7785602201,2.0743585445
1.4400000000,0.6939740629,2.8303479085,2.1363738456
1.4600000000,0.6834471450,2.8829797642,2.1995326192
1.4800000000,0.6726068688,2.9364728405,2.2638659716
1.5000000000,0.6614378278,2.9908445352,2.3294067074
1.5200000000,0.6499230724,3.0461125976,2.3961895252
1.5400000000,0.6380438856,3.1022951355,2.4642512499
1.5600000000,0.6257795139,3.1594106226,2.5336311087
1.5800000000,0.6131068422,3.2174779056,2.6043710634
1.6000000000,0.6000000000,3.2765162122,2.6765162122
1.6200000000,0.5864298765,3.3365451583,2.7501152818
1.6400000000,0.5723635209,3.3975847561,2.8252212353
1.6600000000,0.5577633907,3.4596554222,2.9018920315
1.6800000000,0.5425863987,3.5227779856,2.9801915869
1.7000000000,0.5267826876,3.5869736959,3.0601910082
1.7200000000,0.5102940329,3.6522642321,3.1419701993
1.7400000000,0.4930517214,3.7186717113,3.2256199899
1.7600000000,0.4749736835,3.7862186972,3.3112450137
1.7800000000,0.4559605246,3.8549282093,3.3989676847
1.8000000000,0.4358898944,3.9248237322,3.4889338379
1.8200000000,0.4146082488,3.9959292249,3.5813209761
1.8400000000,0.3919183588,4.0682691305,3.6763507717
1.8600000000,0.3675595190,4.1418683857,3.7743088667
1.8800000000,0.3411744422,4.2167524311,3.8755779889
1.9000000000,0.3122498999,4.2929472211,3.9806973212
1.9200000000,0.2800000000,4.3704792346,4.0904792346
1.9400000000,0.2431049156,4.4493754853,4.2062705697
1.9600000000,0.1989974874,4.5296635326,4.3306660452
1.9800000000,0.1410673598,4.6113714926,4.4703041328
2.0000000000,0.0000000000,4.6945280495,4.6945280495
