x,actual_f(x),polynomial_p(x)
-0.1,0.895004,0.89105
-0.091146,0.904703,0.9012
-0.082292,0.914324,0.91125
-0.0734381,0.923867,0.921202
-0.0645841,0.933331,0.931055
-0.0557301,0.942717,0.940811
-0.0468761,0.952025,0.950469
-0.0380221,0.961255,0.960031
-0.0291681,0.970406,0.969496
-0.0203142,0.97948,0.978864
-0.0114602,0.988474,0.988138
-0.0026062,0.99739,0.997316
0.00624778,1.00623,1.0064
0.0151018,1.01499,1.01539
0.0239557,1.02367,1.02429
0.0328097,1.03227,1.03309
0.0416637,1.0408,1.0418
0.0505177,1.04924,1.05042
0.0593717,1.05761,1.05894
0.0682257,1.0659,1.06738
0.0770796,1.07411,1.07572
0.0859336,1.08224,1.08398
0.0947876,1.0903,1.09214
0.103642,1.09828,1.10022
0.112496,1.10617,1.10821
0.12135,1.114,1.1161
0.130204,1.12174,1.12391
0.139058,1.1294,1.13164
0.147911,1.13699,1.13927
0.156765,1.1445,1.14682
0.165619,1.15194,1.15429
0.174473,1.15929,1.16166
0.183327,1.16657,1.16896
0.192181,1.17377,1.17616
0.201035,1.1809,1.18329
0.209889,1.18794,1.19033
0.218743,1.19491,1.19729
0.227597,1.20181,1.20416
0.236451,1.20863,1.21095
0.245305,1.21537,1.21766
0.254159,1.22203,1.22429
0.263013,1.22862,1.23084
0.271867,1.23514,1.23731
0.280721,1.24158,1.2437
0.289575,1.24794,1.25001
0.298429,1.25423,1.25624
0.307283,1.26044,1.26239
0.316137,1.26658,1.26846
0.324991,1.27264,1.27446
0.333845,1.27863,1.28038
0.342699,1.28455,1.28622
0.351553,1.29039,1.29199
0.360407,1.29616,1.29768
0.369261,1.30186,1.3033
0.378115,1.30748,1.30884
0.386969,1.31303,1.3143
0.395823,1.3185,1.3197
0.404677,1.32391,1.32502
0.413531,1.32924,1.33027
0.422385,1.3345,1.33544
0.431239,1.33969,1.34055
0.440093,1.3448,1.34558
0.448947,1.34985,1.35054
0.457801,1.35483,1.35543
0.466655,1.35973,1.36025
0.475509,1.36457,1.36501
0.484363,1.36933,1.36969
0.493217,1.37403,1.3743
0.502071,1.37866,1.37885
0.510925,1.38322,1.38333
0.519779,1.38771,1.38774
0.528633,1.39213,1.39209
0.537487,1.39648,1.39637
0.546341,1.40077,1.40058
0.555195,1.40499,1.40473
0.564049,1.40915,1.40881
0.572903,1.41323,1.41283
0.581757,1.41726,1.41679
0.590611,1.42121,1.42068
0.599465,1.4251,1.42451
0.608319,1.42893,1.42828
0.617173,1.43269,1.43199
0.626026,1.43639,1.43563
0.63488,1.44002,1.43921
0.643734,1.44359,1.44274
0.652588,1.4471,1.4462
0.661442,1.45055,1.44961
0.670296,1.45393,1.45295
0.67915,1.45726,1.45624
0.688004,1.46052,1.45947
0.696858,1.46372,1.46264
0.705712,1.46686,1.46575
0.714566,1.46994,1.46881
0.72342,1.47297,1.47181
0.732274,1.47593,1.47476
0.741128,1.47884,1.47765
0.749982,1.48168,1.48048
0.758836,1.48447,1.48326
0.76769,1.48721,1.48599
0.776544,1.48988,1.48867
0.785398,1.4925,1.49129
0.794252,1.49507,1.49386
0.803106,1.49758,1.49637
0.81196,1.50004,1.49884
0.820814,1.50244,1.50126
0.829668,1.50479,1.50362
0.838522,1.50708,1.50594
0.847376,1.50933,1.5082
0.85623,1.51152,1.51042
0.865084,1.51366,1.51258
0.873938,1.51575,1.5147
0.882792,1.51779,1.51678
0.891646,1.51978,1.5188
0.9005,1.52172,1.52078
0.909354,1.52361,1.52271
0.918208,1.52545,1.5246
0.927062,1.52725,1.52644
0.935916,1.529,1.52824
0.94477,1.5307,1.52999
0.953624,1.53236,1.5317
0.962478,1.53397,1.53336
0.971332,1.53553,1.53498
0.980186,1.53705,1.53656
0.98904,1.53853,1.5381
0.997894,1.53997,1.5396
1.00675,1.54136,1.54105
1.0156,1.54271,1.54247
1.02446,1.54402,1.54385
1.03331,1.54529,1.54518
1.04216,1.54652,1.54648
1.05102,1.54771,1.54774
1.05987,1.54886,1.54896
1.06873,1.54997,1.55014
1.07758,1.55104,1.55128
1.08643,1.55208,1.55239
1.09529,1.55308,1.55346
1.10414,1.55404,1.5545
1.113,1.55497,1.5555
1.12185,1.55587,1.55647
1.1307,1.55673,1.5574
1.13956,1.55755,1.5583
1.14841,1.55835,1.55916
1.15727,1.55911,1.56
1.16612,1.55984,1.5608
1.17497,1.56054,1.56156
1.18383,1.56121,1.5623
1.19268,1.56185,1.563
1.20154,1.56246,1.56368
1.21039,1.56304,1.56432
1.21924,1.5636,1.56494
1.2281,1.56413,1.56553
1.23695,1.56463,1.56608
1.24581,1.56511,1.56661
1.25466,1.56556,1.56711
1.26351,1.56598,1.56759
1.27237,1.56639,1.56804
1.28122,1.56677,1.56846
1.29008,1.56712,1.56885
1.29893,1.56746,1.56922
1.30778,1.56777,1.56957
1.31664,1.56807,1.56989
1.32549,1.56834,1.57019
1.33435,1.5686,1.57046
1.3432,1.56884,1.57071
1.35205,1.56906,1.57094
