x,actual_f(x),polynomial_p(x)
-0.1,0.895004,0.891835
-0.091146,0.904703,0.901902
-0.082292,0.914324,0.911872
-0.0734381,0.923867,0.921745
-0.0645841,0.933331,0.931524
-0.0557301,0.942717,0.941207
-0.0468761,0.952025,0.950795
-0.0380221,0.961255,0.96029
-0.0291681,0.970406,0.96969
-0.0203142,0.97948,0.978997
-0.0114602,0.988474,0.988211
-0.0026062,0.99739,0.997333
0.00624778,1.00623,1.00636
0.0151018,1.01499,1.0153
0.0239557,1.02367,1.02415
0.0328097,1.03227,1.0329
0.0416637,1.0408,1.04157
0.0505177,1.04924,1.05014
0.0593717,1.05761,1.05863
0.0682257,1.0659,1.06703
0.0770796,1.07411,1.07534
0.0859336,1.08224,1.08356
0.0947876,1.0903,1.09169
0.103642,1.09828,1.09974
0.112496,1.10617,1.1077
0.12135,1.114,1.11557
0.130204,1.12174,1.12336
0.139058,1.1294,1.13106
0.147911,1.13699,1.13868
0.156765,1.1445,1.14621
0.165619,1.15194,1.15366
0.174473,1.15929,1.16102
0.183327,1.16657,1.1683
0.192181,1.17377,1.1755
0.201035,1.1809,1.18262
0.209889,1.18794,1.18965
0.218743,1.19491,1.19661
0.227597,1.20181,1.20348
0.236451,1.20863,1.21027
0.245305,1.21537,1.21698
0.254159,1.22203,1.22361
0.263013,1.22862,1.23017
0.271867,1.23514,1.23664
0.280721,1.24158,1.24303
0.289575,1.24794,1.24935
0.298429,1.25423,1.25559
0.307283,1.26044,1.26176
0.316137,1.26658,1.26784
0.324991,1.27264,1.27385
0.333845,1.27863,1.27979
0.342699,1.28455,1.28565
0.351553,1.29039,1.29143
0.360407,1.29616,1.29714
0.369261,1.30186,1.30278
0.378115,1.30748,1.30834
0.386969,1.31303,1.31383
0.395823,1.3185,1.31925
0.404677,1.32391,1.3246
0.413531,1.32924,1.32987
0.422385,1.3345,1.33507
0.431239,1.33969,1.3402
0.440093,1.3448,1.34527
0.448947,1.34985,1.35026
0.457801,1.35483,1.35518
0.466655,1.35973,1.36003
0.475509,1.36457,1.36482
0.484363,1.36933,1.36953
0.493217,1.37403,1.37418
0.502071,1.37866,1.37876
0.510925,1.38322,1.38328
0.519779,1.38771,1.38773
0.528633,1.39213,1.39211
0.537487,1.39648,1.39642
0.546341,1.40077,1.40068
0.555195,1.40499,1.40486
0.564049,1.40915,1.40899
0.572903,1.41323,1.41305
0.581757,1.41726,1.41704
0.590611,1.42121,1.42097
0.599465,1.4251,1.42485
0.608319,1.42893,1.42865
0.617173,1.43269,1.4324
0.626026,1.43639,1.43609
0.63488,1.44002,1.43971
0.643734,1.44359,1.44328
0.652588,1.4471,1.44678
0.661442,1.45055,1.45023
0.670296,1.45393,1.45362
0.67915,1.45726,1.45695
0.688004,1.46052,1.46022
0.696858,1.46372,1.46343
0.705712,1.46686,1.46659
0.714566,1.46994,1.46969
0.72342,1.47297,1.47273
0.732274,1.47593,1.47572
0.741128,1.47884,1.47865
0.749982,1.48168,1.48153
0.758836,1.48447,1.48436
0.76769,1.48721,1.48713
0.776544,1.48988,1.48984
0.785398,1.4925,1.4925
0.794252,1.49507,1.49512
0.803106,1.49758,1.49767
0.81196,1.50004,1.50018
0.820814,1.50244,1.50264
0.829668,1.50479,1.50504
0.838522,1.50708,1.50739
0.847376,1.50933,1.5097
0.85623,1.51152,1.51195
0.865084,1.51366,1.51416
0.873938,1.51575,1.51631
0.882792,1.51779,1.51842
0.891646,1.51978,1.52048
0.9005,1.52172,1.52249
0.909354,1.52361,1.52446
0.918208,1.52545,1.52638
0.927062,1.52725,1.52826
0.935916,1.529,1.53008
0.94477,1.5307,1.53187
0.953624,1.53236,1.53361
0.962478,1.53397,1.5353
0.971332,1.53553,1.53695
0.980186,1.53705,1.53856
0.98904,1.53853,1.54012
0.997894,1.53997,1.54164
1.00675,1.54136,1.54312
